geo_code,signature_type,use,greenspace,job_types,air_quality,house_affordability,job_accessibility,greenspace_accessibility
E00042859,5,-0.5653083949573667,0.0,0.8119279654239845,-17.245657874629135,-7.778346868355114,2261.3534609054063,338812.79459597054
E00175569,8,-0.4310305003551995,0.1544143623783976,0.7491539305983635,-16.64907923766589,-7.730892416567855,397.4220656738156,350082.8401308949
E00042487,8,-0.04602374054149576,0.36173081062169565,0.7311682175244105,-16.518310768198173,-7.702197216898502,3042.6447309934247,2444839.7968464773
E00042406,8,-0.8393955111524909,0.1761996589889313,0.339108185600175,-17.42220814435628,-7.137077871035844,7560.426735862219,720191.0965192959
E00042486,8,-0.04602374054149576,0.4002632093719724,0.643209935526821,-16.26060948809826,-7.31952824282863,2046.5095661176852,2404446.4739832664
E00042407,10,0.32316749360802544,0.059256524665860205,0.23449501896802738,-17.64209279758256,-7.3322606743815335,7709.900541499716,1005491.5193567324
E00042485,8,-0.04602374054149576,0.38320168018842976,0.8504562019850032,-16.546799297812512,-7.416347130619901,1187.1184581502355,2601435.356415636
E00042404,10,0.32316749360802544,0.059256524665860205,0.45003264370864127,-17.142011254605308,-7.215433692912858,7929.660994421356,988790.327043714
E00042484,8,-0.04602374054149576,0.36173081062169565,0.8487344889120235,-17.00303245327717,-7.4093176420295475,2603.5477612390087,2425228.5313644614
E00042405,8,0.17846321423212325,0.1761996589889313,0.34489515324099035,-17.352670910565735,-7.120172195298531,5060.666097743442,755236.7875427858
E00042666,11,-0.5377213200458523,0.14413739578094167,0.5099496760903516,-16.404646824491174,-7.435347716730778,17758.305436091057,1247513.3702639365
E00042664,11,0.8757214239261546,0.3287457848164084,0.07796462953143574,-16.39811215823587,-6.957948654351914,14961.528070723372,1293287.9876725255
E00042665,11,0.19346675220461584,0.3562083774028742,0.7715588511216426,-16.44854662461655,-7.5042099008032555,24249.809781848562,1048426.3247083954
E00042662,11,-0.5377213200458523,0.14413739578094167,0.5099496760903516,-16.686914001147937,-7.544035830266648,16163.053704129781,1149041.4894674434
E00042663,11,-0.5377213200458523,0.14413739578094167,0.39779007090637386,-16.90775007360492,-7.578138925102192,20858.086475677715,1525103.8700383208
E00042661,12,0.8237568607624688,0.0,1.0,-16.12765191549374,-7.103112768638038,26443.14982762829,996825.9599657254
E00042668,11,0.8757214239261546,0.3287457848164084,0.07666010344246138,-15.861405201031518,-7.173691237045358,17830.476598558773,1265577.9200357941
E00042838,3,0.8668097098880706,0.2430303373807537,0.874972484258638,-15.852498661402292,-7.853428951684206,1414.892209934442,647607.871910155
E00042275,10,1.0,0.0,0.7276127878263438,-17.08012950618945,-7.364105201018808,11316.12695323514,507450.6073145637
E00175572,4,0.5646048833625308,0.3627466517210832,0.6486427309201283,-15.96914558798658,-7.728000177353908,106.85578823917649,872346.2347352573
E00175571,4,-0.036060333662490035,0.018895263386590096,0.5873088160576038,-15.633766614726659,-7.994483749778054,1988.4414032231118,843260.5976019677
E00042598,11,-0.1181717232216124,0.6863322690018369,0.7329499893824301,-16.25019586863474,-7.5669398889872355,10847.653695623983,4424978.501338746
E00042519,8,-0.6516007523031513,0.2944122555695468,0.6872688028900982,-16.90485043095758,-7.516298058224595,777.9356022590223,843331.6303239369
E00042673,12,0.8237568607624688,0.0,1.0,-16.60510714887678,-7.50754570420579,36499.91893699731,865102.4527333996
E00042670,12,0.7202059843150848,0.0,0.2534167886646895,-16.62875253022075,-7.458214242373365,27658.302432354794,1089909.2156079654
E00042426,10,0.32316749360802544,0.059256524665860205,0.3358681420855729,-17.91172180191128,-7.416136978978891,6842.134985453967,925457.0031465415
E00042772,7,0.37408873403658505,0.24800002434344381,0.7248132701267554,-16.226620834884077,-7.2739139830574775,5658.190095570443,770856.5414605851
E00042146,2,0.15657980757278533,0.3656474522711015,0.8985753634740468,-13.77256561709497,-7.786860524950551,4858.309601432713,637160.0205897711
E00042141,2,-0.6583161481545625,0.15598372161010676,0.7981737924473927,-16.752035546753284,-7.692599410873572,4882.109134291251,746315.3302037492
E00042336,8,-0.20024604621658776,0.15976935402970835,0.3196521570140426,-16.90997132895018,-7.102061397355814,1573.8001263468564,757927.2345900151
E00042331,7,-0.36109668871436634,0.04626138871230967,0.2680216743074565,-16.837056044767813,-7.407630665788819,2218.4595715157384,529364.7790192874
E00042246,5,-0.538211171461327,0.4041913105700164,0.5679147420097436,-16.38196042037882,-7.638078538670236,2142.0066185877827,603311.6650389903
E00042243,8,-0.20024604621658776,0.15976935402970835,0.45655199658091783,-17.200610445210113,-7.563169717496645,2155.468857891611,156248.69943058968
E00042248,2,0.011895808724252499,0.05064748052750484,0.8094240340628425,-17.081810868403842,-7.688734731759585,-26.085503795072555,361942.928360351
E00042433,10,0.34463259342052976,0.0,0.41707445152681066,-17.68706664010577,-7.311558329905735,8835.09506951828,1209238.7695080573
E00175593,10,0.90203566028293,0.551831455350762,0.6817377876942021,-17.629811339502364,-7.097966085061734,30378.413753339963,744254.7341088788
E00042157,2,-0.2816133015470286,0.16674646281317695,0.6525724261574065,-13.072261575107994,-7.771437984874747,9048.921105883037,2490162.082971979
E00042153,2,-0.2816133015470286,0.16674646281317695,0.658244407496334,-12.722993839594704,-7.78908094694576,2431.0055849000946,843324.490460976
E00042159,2,-0.2816133015470286,0.16674646281317695,0.6525724261574065,-13.526074384735168,-7.6518800921559045,9048.921105883037,2528142.98992198
E00042386,4,0.19717720386252724,0.018895263386590096,0.9352185617132674,-16.401942679936763,-8.073359150792797,2074.434964008286,380054.8817567787
E00042307,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-16.61416685955746,-7.192554875096004,2166.816778372664,1223825.654446997
E00042308,8,-0.04602374054149576,0.36173081062169565,0.2504846061789877,-17.04357633042009,-7.128665195302936,815.2232685988233,1202498.287257584
E00042389,8,-0.27840751765605126,0.42786291179975555,0.690531154424989,-16.541980152046353,-7.710527682770828,7329.523542771838,1088328.792301486
E00042257,3,0.4160748362498303,0.17818623293602995,0.9234092110920579,-17.234290087776237,-7.762926250073025,-120.76081403540638,396550.46286821377
E00042254,8,-0.25229784584165854,0.07880365788362662,0.7106483444669667,-16.463568772546825,-7.586355965141737,2380.5678651996914,147106.78061113367
E00175550,10,0.19107567582687104,0.2054603070006361,0.5076976520031304,-17.00843738631433,-7.158931732920445,8194.44594489144,1196244.3903639084
E00042568,10,1.0,0.34384551873452474,0.2933669526072916,-17.379506634675025,-7.1474488631855015,8483.761760615005,1071927.2106784955
E00042488,8,-0.04602374054149576,0.36173081062169565,0.6565801744252189,-16.446411773562247,-7.173362153954678,1720.769124811181,2384271.39052279
E00042409,8,0.17846321423212325,0.1761996589889313,0.3522881458855585,-17.39473289153229,-7.242973697555895,5342.56370367067,724680.9743115082
E00042669,10,0.951723718433356,0.3846283750066002,0.5203202236014821,-16.39048830931356,-7.370944777223803,25854.365741616413,1247105.180499552
E00042221,7,0.5144914985309625,0.13582728865738647,0.08667302461062257,-17.296429610702837,-7.3734300977280665,5405.093617124556,885291.3471499037
E00042078,5,-0.11854726363719852,0.001970144078681707,0.3851530630654728,-15.027504288490782,-7.707930621234734,936.1425492932908,696274.6357784146
E00042417,7,-0.1977601293984116,0.37921304786271054,0.09515600941938479,-17.481088646193253,-7.458293023683713,4894.006952869027,718290.8803139088
E00042496,8,-0.04602374054149576,0.36173081062169565,0.7908616888236791,-15.718280608301944,-7.828316726660174,3413.578080399532,4162467.6520375265
E00042721,8,-0.09831347318102858,0.47129063214501654,0.715865386713436,-16.968024307346756,-7.636881997998882,3076.810440526105,2559443.6394576263
E00042674,10,0.90203566028293,0.551831455350762,0.7765837112615677,-16.817881171789704,-7.326479636309288,15035.714579262316,894880.0934106022
E00042130,10,1.0,0.34384551873452474,0.15573378789444203,-17.58349212723309,-7.110239244847507,9344.63934906551,1051739.5906367614
E00042867,5,-0.940285514359028,0.0,0.49072288433899514,-14.359909195743082,-7.494127720242193,1050.0498067173119,654201.7293977444
E00042869,3,-0.029592130604151945,0.03785811548179077,0.7586267840354672,-14.66059288050236,-7.821485479871374,972.4781395489724,560308.0919918057
E00042236,2,-0.19575625410120312,0.11679799233332794,0.6486392758424404,-17.046425757106075,-7.682341374634389,-38.06656404514814,503143.3331952883
E00042232,2,-0.6760475783945374,0.11679799233332794,0.5269161573449352,-16.714152752624894,-7.798475476437823,569.1087220648527,591988.4272867078
E00042540,8,-0.20024604621658776,0.15976935402970835,0.4650446531571245,-17.802542293369484,-7.164801650598124,2199.733484844673,863440.9636398545
E00042640,3,-0.44448184659932577,0.0,0.028757013390636743,-17.015173302851462,-7.543010648061767,-222.56072963084603,168136.26059156808
E00042183,7,0.3548297855885789,0.19931349522291242,0.3985154189646504,-16.628912417008895,-7.487488901512072,4028.062501265181,595793.4593109913
E00042923,5,-0.6008634128277867,0.2551084511106524,0.5438582353313146,-14.922463269090949,-7.301919507339191,3043.453348398735,759923.7778061888
E00042102,7,-0.36109668871436634,0.04626138871230967,0.8665082027873009,-16.86781306956245,-7.49442586173269,1380.5940459631922,636732.2395210965
E00042879,10,0.5426173076668948,0.025694955842715278,0.3680911198731481,-16.87022905669922,-7.227125573754122,11577.327361058382,2198014.8752491735
E00042365,4,-0.036060333662490035,0.018895263386590096,0.6651034105433739,-16.170353216513995,-8.106772968397461,-260.65188074091816,237144.0475456357
E00042285,10,1.0,0.0,0.6709035190900311,-16.63064228606716,-7.506346965415749,12663.465638625486,779714.5660673707
E00175580,10,0.90203566028293,0.551831455350762,0.7884732506613743,-17.510110845741288,-7.346126300746297,11474.642869787951,793342.981804688
E00175587,12,0.549406249467365,0.2646476508945731,0.19442720429153304,-18.33491982980309,-7.697785479419698,17358.05891684055,1451627.3356993445
E00175583,10,0.90203566028293,0.551831455350762,0.8122377770285942,-17.680287949223533,-7.189775697940231,15118.041681357747,766311.5526725178
E00175582,10,0.9034580672924615,0.5054297899237687,0.23123287501902157,-16.735767544739797,-7.349869453872407,3788.7265170102446,1450850.6638732105
E00175581,3,0.19695668843730815,0.0,0.7399316593797663,-16.595353452548995,-7.168498768177133,2092.24337901377,311746.3450008422
